Site,Location,Depth,Vial_num,Sample_ID,Sample_Date,Inc_month,Composite_num,Weight_mg,Weight_g,Volume_lake_water_L,NO3_spike_µg_L,NH3_spike_µg_L,Analyte,Spike_µg_L,Type,Goal_incubation_hrs,Incubation_start_time,Incubation_end_time,Actual_incubation_hrs,bin,Notes,NO2_NO3_mgNL,NH3_mgNL,Conc_mgNL,Flag,OM_g,OM_%,Percent_water,Sample_dryweight_g,AFDM_g,
BW_10m,BW,10,67,Sed_NA_67,2023-05-24,May,1,2080,2.08,0.025,800,,NO3,800,sediment,6,8:37,14:56,6:19,2,,0.67,,0.67,N,1.111,0.061,0.394,1.26048,0.07633587071,
BW_10m,BW,10,68,Sed_NA_68,2023-05-24,May,2,2025.3,2.0253,0.025,800,,NO3,800,sediment,6,8:37,14:56,6:19,2,,0.589,,0.589,N,1.111,0.061,0.394,1.2273318,0.07432838411,
BW_10m,BW,10,69,Sed_NA_69,2023-05-24,May,3,2034.9,2.0349,0.025,800,,NO3,800,sediment,6,8:37,14:56,6:19,2,,0.684,,0.684,N,1.111,0.061,0.394,1.2331494,0.07468070351,
BW_10m,BW,10,70,Sed_NA_70,2023-05-24,May,1,2024.4,2.0244,0.025,1200,,NO3,1200,sediment,6,8:39,15:01,6:22,2,,1.006,,1.006,N,1.111,0.061,0.394,1.2267864,0.07429535416,
BW_10m,BW,10,71,Sed_NA_71,2023-05-24,May,2,2057.6,2.0576,0.025,1200,,NO3,1200,sediment,6,8:39,15:01,6:22,2,,0.902,,0.902,N,1.111,0.061,0.394,1.2469056,0.0755137921,
BW_10m,BW,10,72,Sed_NA_72,2023-05-24,May,3,2050.5,2.0505,0.025,1200,,NO3,1200,sediment,6,8:39,15:01,6:22,2,,0.993,,0.993,N,1.111,0.061,0.394,1.242603,0.07525322254,
GB0.5m,GB,0.5,73,Sed_NA_73,2023-05-25,May,1,2125.4,2.1254,0.025,0,,NO3,0,sediment,6,8:43,15:00,6:17,2,,0.03,,0.03,N,0.194,0.006,0.238,1.618532512,0.00936003665,used June data since it was missing
GB0.5m,GB,0.5,74,Sed_NA_74,2023-05-25,May,2,2122.8,2.1228,0.025,0,,NO3,0,sediment,6,8:43,15:00,6:17,2,,0.027,,0.027,N,0.194,0.006,0.238,1.616552563,0.009348586525,
GB0.5m,GB,0.5,75,Sed_NA_75,2023-05-25,May,3,2087,2.087,0.025,0,,NO3,0,sediment,6,8:43,15:00,6:17,2,,0.025,,0.025,N,0.194,0.006,0.238,1.589290182,0.009190927114,
GB0.5m,GB,0.5,76,Sed_NA_76,2023-05-25,May,1,1945.2,1.9452,0.025,100,,NO3,100,sediment,6,8:46,15:07,6:21,2,,0.128,,0.128,N,0.194,0.006,0.238,1.481306786,0.008566454922,
GB0.5m,GB,0.5,77,Sed_NA_77,2023-05-25,May,2,2024.6,2.0246,0.025,100,,NO3,100,sediment,6,8:46,15:07,6:21,2,,0.124,,0.124,N,0.194,0.006,0.238,1.541771395,0.008916124118,
GB0.5m,GB,0.5,78,Sed_NA_78,2023-05-25,May,3,2137.1,2.1371,0.025,100,,NO3,100,sediment,6,8:46,15:07,6:21,2,,0.131,,0.131,N,0.194,0.006,0.238,1.627442284,0.009411562212,
GB0.5m,GB,0.5,79,Sed_NA_79,2023-05-25,May,1,2104.3,2.1043,0.025,200,,NO3,200,sediment,6,8:48,15:11,6:23,3,,0.221,,0.221,N,0.194,0.006,0.238,1.602464461,0.009267114483,
GB0.5m,GB,0.5,80,Sed_NA_80,2023-05-25,May,2,2120.6,2.1206,0.025,200,,NO3,200,sediment,6,8:48,15:11,6:23,3,,0.23,,0.23,N,0.194,0.006,0.238,1.614877221,0.009338897958,
GB0.5m,GB,0.5,81,Sed_NA_81,2023-05-25,May,3,2045.5,2.0455,0.025,200,,NO3,200,sediment,6,8:48,15:11,6:23,3,,0.229,,0.229,N,0.194,0.006,0.238,1.557687143,0.009008165506,
GB0.5m,GB,0.5,82,Sed_NA_82,2023-05-25,May,1,2052.3,2.0523,0.025,500,,NO3,500,sediment,6,8:49,15:14,6:25,3,,0.519,,0.519,N,0.194,0.006,0.238,1.562865472,0.009038111987,
GB0.5m,GB,0.5,83,Sed_NA_83,2023-05-25,May,2,2113.1,2.1131,0.025,500,,NO3,500,sediment,6,8:49,15:14,6:25,3,,0.546,,0.546,N,0.194,0.006,0.238,1.609165828,0.009305868752,
GB0.5m,GB,0.5,84,Sed_NA_84,2023-05-25,May,3,2161.4,2.1614,0.025,500,,NO3,500,sediment,6,8:49,15:14,6:25,3,,0.55,,0.55,N,0.194,0.006,0.238,1.645947196,0.00951857684,
GB0.5m,GB,0.5,85,Sed_NA_85,2023-05-25,May,1,2029.1,2.0291,0.025,800,,NO3,800,sediment,6,8:51,15:19,6:28,3,,0.8,,0.8,N,0.194,0.006,0.238,1.545198231,0.008935941642,
GB0.5m,GB,0.5,86,Sed_NA_86,2023-05-25,May,2,2027.6,2.0276,0.025,800,,NO3,800,sediment,6,8:51,15:19,6:28,3,,0.826,,0.826,N,0.194,0.006,0.238,1.544055952,0.008929335801,
GB0.5m,GB,0.5,87,Sed_NA_87,2023-05-25,May,3,2180.7,2.1807,0.025,800,,NO3,800,sediment,6,8:51,15:19,6:28,3,,0.818,,0.818,N,0.194,0.006,0.238,1.660644513,0.009603571997,
GB0.5m,GB,0.5,88,Sed_NA_88,2023-05-25,May,1,1984.4,1.9844,0.025,1200,,NO3,1200,sediment,6,8:53,15:22,6:29,3,,1.224,,1.224,N,0.194,0.006,0.238,1.511158331,0.008739087573,
GB0.5m,GB,0.5,89,Sed_NA_89,2023-05-25,May,2,2180.3,2.1803,0.025,1200,,NO3,1200,sediment,6,8:53,15:22,6:29,3,,1.237,,1.237,N,0.194,0.006,0.238,1.660339906,0.009601810439,
GB0.5m,GB,0.5,90,Sed_NA_90,2023-05-25,May,3,2066.2,2.0662,0.025,1200,,NO3,1200,sediment,6,8:53,15:22,6:29,3,,1.201,,1.201,N,0.194,0.006,0.238,1.573450586,0.009099326116,
GB_3m,GB,3,91,Sed_NA_91,2023-05-25,May,1,2158.8,2.1588,0.025,0,,NO3,0,sediment,6,8:43,15:02,6:19,2,,0.024,,0.024,N,0.137,0.006,0.250,1.6191,0.009845626702,
GB_3m,GB,3,92,Sed_NA_92,2023-05-25,May,2,2096.9,2.0969,0.025,0,,NO3,0,sediment,6,8:43,15:02,6:19,2,,0.019,,0.019,N,0.137,0.006,0.250,1.572675,0.009563319729,
GB_3m,GB,3,93,Sed_NA_93,2023-05-25,May,3,2077.9,2.0779,0.025,0,,NO3,0,sediment,6,8:43,15:02,6:19,2,,0.017,,0.017,N,0.137,0.006,0.250,1.558425,0.009476666539,
GB_3m,GB,3,94,Sed_NA_94,2023-05-25,May,1,2005,2.005,0.025,100,,NO3,100,sediment,6,8:45,15:06,6:21,2,,0.078,,0.078,N,0.137,0.006,0.250,1.50375,0.00914419193,
GB_3m,GB,3,95,Sed_NA_95,2023-05-25,May,2,2166.5,2.1665,0.025,100,,NO3,100,sediment,6,8:45,15:06,6:21,2,,0.071,,0.071,N,0.137,0.006,0.250,1.624875,0.009880744048,
GB_3m,GB,3,96,Sed_NA_96,2023-05-25,May,3,1949.3,1.9493,0.025,100,,NO3,100,sediment,6,8:45,15:06,6:21,2,,0.079,,0.079,N,0.137,0.006,0.250,1.461975,0.008890161261,
GB_3m,GB,3,97,Sed_NA_97,2023-05-25,May,1,1990.1,1.9901,0.025,200,,NO3,200,sediment,6,8:47,15:11,6:24,3,,0.187,,0.187,N,0.137,0.006,0.250,1.492575,0.009076237586,
GB_3m,GB,3,98,Sed_NA_98,2023-05-25,May,2,2055.3,2.0553,0.025,200,,NO3,200,sediment,6,8:47,15:11,6:24,3,,0.178,,0.178,N,0.137,0.006,0.250,1.541475,0.009373594849,
GB_3m,GB,3,99,Sed_NA_99,2023-05-25,May,3,2129.7,2.1297,0.025,200,,NO3,200,sediment,6,8:47,15:11,6:24,3,,0.174,,0.174,N,0.137,0.006,0.250,1.597275,0.0097129105,
GB_3m,GB,3,100,Sed_NA_100,2023-05-25,May,1,1972.3,1.9723,0.025,500,,NO3,500,sediment,6,8:49,15:14,6:25,3,,0.441,,0.441,N,0.137,0.006,0.250,1.479225,0.008995057228,
GB_3m,GB,3,101,Sed_NA_101,2023-05-25,May,2,2118.5,2.1185,0.025,500,,NO3,500,sediment,6,8:49,15:14,6:25,3,,0.429,,0.429,N,0.137,0.006,0.250,1.588875,0.009661830725,
GB_3m,GB,3,102,Sed_NA_102,2023-05-25,May,3,2110.5,2.1105,0.025,500,,NO3,500,sediment,6,8:49,15:14,6:25,3,,0.452,,0.452,N,0.137,0.006,0.250,1.582875,0.009625345171,
GB_3m,GB,3,103,Sed_NA_103,2023-05-25,May,1,2195.3,2.1953,0.025,800,,NO3,800,sediment,6,8:50,15:18,6:28,3,,0.725,,0.725,N,0.137,0.006,0.250,1.646475,0.01001209204,
