"model_name","Vmax","Km","Std_Error_Km","p_value_Km","Std_Error_Vmax","p_value_Vmax"
"GB0.5m_July_biofilm_NO3",0.39896959843256,702.805875256276,335.016105394793,0.0521565310440178,0.072872185706275,5.08931180651927e-05
"GB10m_July_sediment_NO3",30.6285591458374,103.112809205114,53.142241570162,0.0701740476185928,3.1829215197194,4.67748231828948e-08
"SH3m_July_sediment_NO3",14.5658953690672,321.126549734282,270.73911494708,0.25289411898588,3.92375855037985,0.0018928426207498
"GB3m_July_sediment_NO3",32.0340914596319,39.1089490325849,75.3421103698149,0.610807168974367,7.74168456081047,0.000772717257527635
"GB0.5m_July_sediment_NH3",792.122340994078,6788.38424602188,7578.00002181956,0.383638286241889,721.43596807623,0.288462340085682
"GB3m_July_sediment_NH3",950.762429190436,2801.78126949146,2830.4082438652,0.336964569038977,630.860301226966,0.1512769000373
"SH3m_July_sediment_NH3",165.322849266888,2614.24511534992,2053.49554997012,0.221180042393994,83.394036211764,0.0648742060992413
"GB10m_July_sediment_NH3",372.071756318731,1355.71116968509,330.388777622902,0.000830644338846636,45.7931546596693,4.53201537830034e-07
"GB0.5m_July_biofilm_NH3",168.955452362839,937717.387207996,7061407.8248069,0.896011521772983,1270.33732315768,0.895851382677937
"GB0.5m_July_sediment_NO3",-19574.6705030505,1119481.89802305,6928265.13946959,0.873657941885113,121016.395284311,0.873525956816104
"GB10m_June_sediment_NO3",92.1600938064158,859.279536325359,367.181628128295,0.033509992095693,17.6499590093425,0.000103405467343875
"SH3m_June_sediment_NH3",214.510047056026,793.341305126754,198.239889994888,0.00102785521376621,23.4190890385721,9.1829769780159e-08
"GB0.5m_June_sediment_NH3",489.504641458924,5298.01686766468,3090.79759676906,0.105808032406624,231.282001049232,0.0503287430266056
"GB10m_June_sediment_NH3",246.025355025642,866.228145682216,104.488487277921,3.48228414774276e-07,13.4755603517052,3.88393644087129e-12
"SH3m_June_sediment_NO3",73.8119850671454,294.861158154188,224.591882637762,0.20774460167669,16.8647899906365,0.000469427955727616
"GB3m_June_sediment_NO3",54.0641050121,181.568346252074,118.027432956979,0.144786729726694,8.81442554657283,1.91342859014227e-05
"GB0.5m_June_biofilm_NH3",0.926886265153916,445.028663743605,278.155444707328,0.129172031294167,0.191361676554576,0.00017963349778707
"GB3m_June_sediment_NH3",219.79523434686,604.204292180634,126.886473006443,0.000212256888111544,17.8819051488199,1.45205849037705e-09
"GB0.5m_June_sediment_NO3",15.2989907268813,629.379608045394,3265.32410170725,0.849582868406525,31.7298852655386,0.636219419693441
"GB0.5m_June_biofilm_NO3",0.509528451130151,288.211307216162,161.651704814631,0.0935807777306705,0.0823177743527334,1.29712908174146e-05
"GB10m_May_sediment_NO3",48.9427112153992,208.71496199326,155.105028596407,0.20329446775656,12.061220193501,0.00158779418473352
"GB0.5m_May_biofilm_NO3",78.1461248999231,60663.610604239,383906.662875713,0.876871873546294,487.126075152394,0.875014021913349
"GB3m_May_sediment_NO3",63.9202756049255,310.397425866453,124.166042488337,0.0254736712460237,9.4218768085902,8.818225979268e-06
"SH3m_May_sediment_NO3",61.7322322766808,232.99122229619,98.1870221725359,0.033750589183561,8.87314092233972,9.95870914644047e-06
"GB0.5m_May_biofilm_NH3",0.0146824446985966,52.0042156267987,1582.13112954047,0.974185031508764,0.123606944194068,0.906925572533953
"GB10m_May_sediment_NH3",215.753712506374,948.222154815689,485.190199806706,0.0683687089165821,64.981885772673,0.00433086751529961
"GB0.5m_May_sediment_NO3",-21.6186114690242,315.325199483511,718.199991282364,0.666497245530806,19.7608607258749,0.290147152054464
"GB0.5m_May_sediment_NH3",179857.347716494,2358674.35073649,11737901.2705089,0.843273677870243,891061.891837269,0.842581047543007
"GB3m_May_sediment_NH3",8151.87347570285,47272.8568682598,292927.109666775,0.873813579646374,49726.3369581249,0.871835511288925
"SH3m_May_sediment_NH3",8194.14033862206,60859.7843417616,323921.672867565,0.853329510479812,43086.0461563923,0.851559384698092
"BW0.5m_July_sediment_NO3",1921.93381950633,219357.2514548,748152.953773945,0.774827869301672,6506.93454270351,0.773214143268665
"BW3m_July_sediment_NO3",864.569739411422,200133.543835984,959623.288164769,0.837428027939888,4119.12387687973,0.836401603518957
"SS3m_July_sediment_NO3",71.9967102643697,303.942747360482,53.0722587924594,3.1187421933441e-05,3.36453007255674,3.36619134884595e-13
"BW10m_July_sediment_NO3",51.3397536255734,887.955118486433,262.652952089654,0.00381215260274126,6.12178118990305,2.99127825997978e-07
"BW0.5m_July_sediment_NH3",3266.10122508348,44104.3450490598,60896.1676811457,0.479366619254776,4360.75087647269,0.46474066861462
"BW3m_July_sediment_NH3",3692.21888078603,71437.5812268369,217730.01288249,0.74708928523279,11026.5260476402,0.742088798942183
"SS3m_July_sediment_NH3",329.407748053504,1599.04211044862,332.823933517662,0.000194546612048493,37.9947409271223,1.92441275594015e-07
"BW0.5m_July_biofilm_NO3",11.4897113975804,84250.7872893247,539064.866402906,0.877888000093708,72.058608093137,0.875441893654664
"BW10m_July_sediment_NH3",8705.31853257873,110306.070517983,221939.518584724,0.625942155507237,17291.7462728731,0.621516654449889
"BW0.5m_July_biofilm_NH3",0.68799928397207,3156.30353610205,4132.20088784975,0.458607448090256,0.62560980341801,0.291399995225201
"BW3m_June_sediment_NO3",-106.370639496726,65914.8431614858,1219281.65538184,0.957556314376707,1934.25005845698,0.956824712525752
"BW0.5m_June_sediment_NO3",100.072091204528,56101.5604918142,317361.175984042,0.86190333682387,559.113127342224,0.860197401745188
