"",".id","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail","model"
"1","BW0.5m_July_biofilm_NH3","mu",0.0993553119454914,0.0993994329486659,0.0255833484238156,0.0242233815210982,0.0573388724193679,0.141319502125285,1.0006138461427,6031.23755797491,5125.75402632286,"mean"
"2","BW0.5m_July_biofilm_NH3","sigma",0.0973368911329998,0.0938965070120595,0.0208458489787441,0.0183459648385649,0.0701605321096813,0.136025503332216,1.00004200464172,5933.20467867147,5369.85957402775,"mean"
"3","BW0.5m_July_biofilm_NH3","lp__",25.9093579533785,26.2488212694112,1.05634137722393,0.749806638608338,23.7625867419056,26.9220092599762,1.00111329172142,3579.26469020296,4655.22778153992,"mean"
"4","BW0.5m_July_biofilm_NH3","b0",0.0311440669515878,0.0311408698385462,0.0154939081018763,0.0145196590418932,0.00563882552404345,0.0567134247955954,1.0014199033519,2532.07776276899,2615.61925519064,"linear"
"5","BW0.5m_July_biofilm_NH3","b1",0.000122601438806029,0.000122496921934903,1.82005809630951e-05,1.69677134802841e-05,9.27640669822774e-05,0.000152461917743852,1.00021993309601,5136.00264143038,5318.11189528179,"linear"
"6","BW0.5m_July_biofilm_NH3","sigma",0.0426947542095356,0.0412438831508799,0.00970504793224653,0.00890286366629848,0.0298608962560657,0.0602820455493799,1.00103724400873,2450.42302987472,2590.77562380213,"linear"
"7","BW0.5m_July_biofilm_NH3","Vmax",1.49372870565265e+22,1.34787594885836e+22,7.66794909229598e+21,8.15944553508467e+21,4.03275143708216e+21,2.89659059994475e+22,1.40586656162001,8.32153023679524,24.9600533247662,"MM"
"8","BW0.5m_July_biofilm_NH3","K",1.0306670427525e+26,9.50536725252397e+25,5.24500328493573e+25,5.62129903212898e+25,2.79142180578962e+25,1.97279029978082e+26,1.39327914677149,8.55787514930914,24.0284184761633,"MM"
"9","BW0.5m_July_biofilm_NH3","sigma",0.0484486300811466,0.0467313320048973,0.0106478921169621,0.00929243610140376,0.0346730700646025,0.0681095635300238,1.00098198692266,4181.07666171575,2985.73288913962,"MM"
"10","BW0.5m_July_biofilm_NH3","Vmax",9834616139322410,29086530556.0235,20553601546900040,43123690202.3838,0.0902169765394489,57370569691269728,2.11937477120609,5.22094073415677,32.6492224448479,"Hill"
"11","BW0.5m_July_biofilm_NH3","K",8395699253316548608,15398113628481,17050392882810542080,27005739077063.3,-1309223531290.87,49394688675075858432,3.17909135722208,4.56321328519569,20.4925618841785,"Hill"
"12","BW0.5m_July_biofilm_NH3","n",25.5339723342018,3.15509041262211,30.9315597164533,4.10352404854189,0.611180526332264,86.9666072180904,1.73891980975013,6.17913289708296,75.5801142372712,"Hill"
