"",".id","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail","model"
"1","BW0.5m_July_biofilm_NH3","mu",0.0991737091365747,0.0989784182306477,0.0255880308731263,0.0237414567166975,0.0570005560056978,0.141207827189248,1.0021114632083,2622.10540053016,2237.90773986347,"mean"
"2","BW0.5m_July_biofilm_NH3","sigma",0.0976646054280049,0.0945453135224406,0.021104892624658,0.0194336666009499,0.0699899673074789,0.137838090186786,1.0007371384642,2547.24785129416,2213.83023544424,"mean"
"3","BW0.5m_July_biofilm_NH3","lp__",25.9028073321496,26.2310750473581,1.06886607837226,0.76387362560382,23.7083659654846,26.9212512192779,1.00232125756835,1776.52215309341,1733.72481090493,"mean"
"4","BW0.5m_July_biofilm_NH3","b0",0.0311472860208089,0.0312946621677397,0.0142219626709052,0.0140134403195655,0.00762083661422761,0.0541682584795901,1.00077766532712,1674.09365291483,1558.94651772981,"linear"
"5","BW0.5m_July_biofilm_NH3","b1",0.000122772645242977,0.00012300291062738,1.72729361135877e-05,1.6254725882138e-05,9.41631608082865e-05,0.000150402133548796,0.999859663849063,2425.1640155837,2606.65955947056,"linear"
"6","BW0.5m_July_biofilm_NH3","sigma",0.0422764793729307,0.0406436570725566,0.00952356701253733,0.00817745649906288,0.0302788149724245,0.0597454446703638,1.00314783529034,1179.64276839289,1192.29528923567,"linear"
"7","BW0.5m_July_biofilm_NH3","Vmax",491416606810266368,53275454549087600,820564760824339456,75221874474766864,1395109119964190,2368767205384605184,3.16475280759122,3.38313779741225,11.6273472132661,"MM"
"8","BW0.5m_July_biofilm_NH3","K",3.34797578938091e+21,3.61785437662865e+20,5.53880743885595e+21,5.09874939413859e+20,9932720935956228096,1.56415833687873e+22,3.14204604411194,3.38294834218298,11.9777312414503,"MM"
"9","BW0.5m_July_biofilm_NH3","sigma",0.0481001031058479,0.0464967602413537,0.0102960222408437,0.00890800371056809,0.0350272547818305,0.0664313528241131,1.00185901623875,2710.27728807189,2529.47634028818,"MM"
"10","BW0.5m_July_biofilm_NO3","mu",0.121143291861825,0.120888131050216,0.0315456674405752,0.0300134600598013,0.0687570488592258,0.172753066216872,1.00122106682226,2560.82532893342,2081.39804610627,"mean"
"11","BW0.5m_July_biofilm_NO3","sigma",0.123633782355758,0.120334040507382,0.0241897464532159,0.0223527256944123,0.0908322862612803,0.167706696883733,1.00119367011021,2096.71772873532,2380.27570009419,"mean"
"12","BW0.5m_July_biofilm_NO3","lp__",25.8136540559327,26.1428397038556,1.08085987178285,0.780128521805601,23.6100008683774,26.8553574081534,1.00194955753201,1705.83934736829,2228.92648984864,"mean"
"13","BW0.5m_July_biofilm_NO3","b0",0.0207428660308741,0.0210307745548256,0.0229548896706669,0.0216453209006159,-0.0171342527177244,0.0580945089468365,1.00114310713427,1429.02249458687,1508.56652576898,"linear"
"14","BW0.5m_July_biofilm_NO3","b1",0.000120695767717144,0.000120434293560897,2.02492701317751e-05,1.95070178895986e-05,8.77305690316119e-05,0.000154318116381429,0.999854414554964,2166.24248098037,2238.5096219035,"linear"
"15","BW0.5m_July_biofilm_NO3","sigma",0.0645864876945163,0.0624773039027485,0.01281297230868,0.0115218182981794,0.0476727371507083,0.087716622729325,1.00083503356935,1179.85046541813,1408.35595948359,"linear"
"16","BW0.5m_July_biofilm_NO3","Vmax",12346042708059643904,10378184551252459520,1.1900822573023e+19,12065435050748061696,709977830232752128,38959585574889635840,2.03492688800467,4.00681836750805,23.1735649551794,"MM"
"17","BW0.5m_July_biofilm_NO3","K",9.46851844728569e+22,7.77882517934558e+22,9.14761231929158e+22,8.87726586576188e+22,5.28687589816458e+21,2.99785210190053e+23,2.04236614183204,3.99551548418731,23.5207038418751,"MM"
"18","BW0.5m_July_biofilm_NO3","sigma",0.0649830237937875,0.0633829384058478,0.0128527500961262,0.0121412898679182,0.0475999601512897,0.0879395306795086,1.00055698330384,2649.91753526786,2906.37650237393,"MM"
"19","BW0.5m_July_sediment_NH3","mu",50.5697303068317,50.462397397095,12.8285514393344,12.3571208909034,29.2818119070034,71.9230369471453,1.00170852401609,2990.61961599412,2290.07627163868,"mean"
"20","BW0.5m_July_sediment_NH3","sigma",53.2753262893935,51.8682414496059,9.8376383191142,8.97090931574625,39.7206187345985,71.1910724294253,1.00030002399723,2656.62327422467,2565.7968423721,"mean"
"21","BW0.5m_July_sediment_NH3","lp__",-75.7543332902874,-75.4359291276486,1.04516174123698,0.782637367740626,-77.8134224366582,-74.7457291177063,1.00070303166475,2008.69445700304,2535.47345380402,"mean"
"22","BW0.5m_July_sediment_NH3","b0",0.284620123052682,0.291959949197126,2.48127591262608,2.38479075416894,-3.8502499876153,4.33734872387668,0.99994360807884,2076.79196615771,2106.05775966402,"linear"
"23","BW0.5m_July_sediment_NH3","b1",0.0713741393456943,0.071391301365086,0.00260615673309748,0.00251525014408099,0.0671121466459208,0.0757052126855648,1.00132431712472,2322.39890748441,2642.62937013409,"linear"
"24","BW0.5m_July_sediment_NH3","sigma",7.21558731997344,6.99832546351876,1.41795134015753,1.30399006981052,5.34533333952761,9.81679319245088,1.00056534268863,2418.65099448928,2576.60732014814,"linear"
"25","BW0.5m_July_sediment_NH3","Vmax",6.52787831209044e+20,4.01765728032688e+20,6.13399982384931e+20,3.67250120272646e+20,49965391335916453898,1.85474375006764e+21,2.24068565681369,3.79989820018654,14.6492985464923,"MM"
"26","BW0.5m_July_sediment_NH3","K",9.12724842868715e+21,5.64421450825619e+21,8.57828810539719e+21,5.18615874322654e+21,6.99260985041921e+20,2.60423482151328e+22,2.24142253364698,3.80017351741688,14.6649877442184,"MM"
"27","BW0.5m_July_sediment_NH3","sigma",6.97899740198378,6.79791011814635,1.3019504708169,1.21819013912841,5.20514142775481,9.32313141637465,1.0012764500691,3187.12012392966,2620.18421269609,"MM"
"28","BW0.5m_July_sediment_NO3","mu",7.6839811166298,7.6722076195486,2.55772772381447,2.40800589898002,3.59866083180468,12.018960415035,1.00089067972801,3016.48494265768,2430.48599156966,"mean"
"29","BW0.5m_July_sediment_NO3","sigma",9.01428878039629,8.66892396577354,2.13512986734554,1.88308606126467,6.24029617531257,12.8882539799827,1.00055160116013,2512.69703084331,2450.71275904571,"mean"
"30","BW0.5m_July_sediment_NO3","lp__",-32.137058600192,-31.8197214587182,1.04443193322294,0.793994262930278,-34.2348815043326,-31.106699065128,0.999895055495362,1729.68731185989,2054.82268702016,"mean"
"31","BW0.5m_July_sediment_NO3","b0",-1.05539282936332,-1.07531986314259,1.49725021908047,1.39504786174696,-3.46176489796501,1.30461279800523,1.00501115167861,1334.66024560028,1402.99296355488,"linear"
"32","BW0.5m_July_sediment_NO3","b1",0.00933814218077177,0.00933898311633135,0.00123211723799058,0.00116635502312824,0.00732180777559594,0.011290218889116,1.00332072539241,1699.76485591842,1711.83716709559,"linear"
"33","BW0.5m_July_sediment_NO3","sigma",3.28491989568438,3.14830750913957,0.788468192106761,0.701021381742164,2.2824538052651,4.76991080941875,1.00290769972731,1367.69565641944,1478.72154058082,"linear"
"34","BW0.5m_July_sediment_NO3","Vmax",1.18114046554488e+20,80559598583895523338,9.8362715189174e+19,56744016689733328896,19898402845409050624,3.56053933761583e+20,1.55455090294813,5.23707986165682,11.1292461994591,"MM"
"35","BW0.5m_July_sediment_NO3","K",1.36635981270331e+22,9.43160668009641e+21,1.13094305603875e+22,6.78543479818424e+21,2.26288818530832e+21,4.11298718711192e+22,1.54788377914736,5.28818329801801,11.7198064153991,"MM"
"36","BW0.5m_July_sediment_NO3","sigma",3.18701934552592,3.06013797271879,0.744533609282357,0.655041349623122,2.22875813270771,4.57136979860229,1.00142012170017,2667.63883600692,2514.25827598242,"MM"
"37","BW0.5m_June_biofilm_NH3","mu",0.344585657380328,0.34584807350057,0.058844840771532,0.0550378096118951,0.248065016595055,0.441509740368553,0.999887312092964,3467.04917254148,2816.46489624077,"mean"
"38","BW0.5m_June_biofilm_NH3","sigma",0.242104024834753,0.235075679998677,0.0471303452545619,0.041910543385702,0.178638862244108,0.328786598616239,1.00062906720285,2790.39863717779,2650.10820962931,"mean"
"39","BW0.5m_June_biofilm_NH3","lp__",15.8829475332587,16.2223770621785,1.11401097247769,0.793490254245817,13.7606974948128,16.9293578898599,1.00199841482806,2012.16521215579,2146.70166659394,"mean"
"40","BW0.5m_June_biofilm_NH3","b0",0.131834235405523,0.130455989840772,0.0393777738531043,0.0382016674322306,0.0692709116757513,0.198065388790327,1.00300174139509,1321.66403004301,1197.2054324329,"linear"
"41","BW0.5m_June_biofilm_NH3","b1",0.000321507955473546,0.000322624074802541,4.35810676289223e-05,4.08428827356438e-05,0.000248250324305748,0.00039170245514853,1.00286324762206,1886.75852352527,1946.093141084,"linear"
"42","BW0.5m_June_biofilm_NH3","sigma",0.109025054036419,0.105721371640193,0.021829471869721,0.0191675556845927,0.0792640707640672,0.150286538703622,1.001941527099,1376.87511617998,1293.0294691715,"linear"
"43","BW0.5m_June_biofilm_NH3","Vmax",0.698556053548992,0.696899648358539,0.027890139513308,0.0261060545585231,0.655892375353558,0.745017710384927,1.00177590057178,1639.1627467204,1436.09646528478,"MM"
"44","BW0.5m_June_biofilm_NH3","K",329.027353612306,326.031456201255,44.342426505835,41.562634890057,264.438744476027,407.278481902534,1.00182938090752,1697.41370431968,1515.37223441233,"MM"
"45","BW0.5m_June_biofilm_NH3","sigma",0.0334556507396013,0.03245507613336,0.00662749946296616,0.00604728553307456,0.0247500273446683,0.0457351215083925,1.00159318819485,1907.17569172992,2251.49530013662,"MM"
"46","BW0.5m_June_biofilm_NO3","mu",0.261860485465272,0.262215504986487,0.0434364707586792,0.0402706126752372,0.187987964949531,0.33423181119776,1.00009129965142,2349.33782579217,2203.98137385768,"mean"
"47","BW0.5m_June_biofilm_NO3","sigma",0.174534766137095,0.170060544598282,0.0328298240984058,0.0305254719186539,0.129059888282946,0.23560674128033,1.00117491364191,2722.6694263685,2666.99750017669,"mean"
"48","BW0.5m_June_biofilm_NO3","lp__",21.4837552446641,21.7966630947629,1.0694377845268,0.805534545316926,19.3246544651087,22.5332479728789,1.00118813492154,1775.99591345676,2276.90571854776,"mean"
"49","BW0.5m_June_biofilm_NO3","b0",0.103374617189112,0.103311747491679,0.0280064366216807,0.0277330212294021,0.0575248660996278,0.150015002782536,1.00244560046526,1387.53383048886,1493.79286184067,"linear"
"50","BW0.5m_June_biofilm_NO3","b1",0.000260436238829949,0.000260509025321091,3.3104362122329e-05,3.17134656598526e-05,0.000204720366945354,0.00031367340308621,1.00293278135552,2132.1184939705,2370.17637533748,"linear"
"51","BW0.5m_June_biofilm_NO3","sigma",0.07591987092535,0.0738517318514972,0.0142196849837008,0.0132544999665861,0.0560089015307486,0.10176619854405,1.00150886344076,1135.2865468889,1422.15108595391,"linear"
"52","BW0.5m_June_biofilm_NO3","Vmax",0.503138293762076,0.499702982822492,0.0371504804885175,0.0333221040333951,0.450286273318857,0.569592554743748,1.00499613379916,1263.17186598185,1130.42204380584,"MM"
"53","BW0.5m_June_biofilm_NO3","K",273.718944845926,262.694539270131,72.7095587999121,60.3015442368235,179.226130716015,406.362662163702,1.00424782431394,1244.57508158492,1238.18812633429,"MM"
"54","BW0.5m_June_biofilm_NO3","sigma",0.0430175237857683,0.0418059527704791,0.00846062282930494,0.0079950696842116,0.0315277481597863,0.0588476299888096,1.00151144474321,1758.55195970784,2014.62860514081,"MM"
"55","BW0.5m_June_sediment_NH3","mu",35.6063798966067,35.5342557156821,8.10404818569826,7.57164497915872,22.4594260370066,48.8394677225218,1.00132332357112,2305.46378705458,2050.36729625587,"mean"
"56","BW0.5m_June_sediment_NH3","sigma",32.8768778825847,31.9989258298693,6.24556746725319,5.69905188264815,24.4691988143758,44.5095386959599,1.00018912945024,2617.64255849958,2786.0424031272,"mean"
"57","BW0.5m_June_sediment_NH3","lp__",-67.5789210282643,-67.2499148713466,1.08678613374731,0.768827880310099,-69.7156822434542,-66.5593667318205,1.00106219952398,1583.92715985354,2217.62935385233,"mean"
"58","BW0.5m_June_sediment_NH3","b0",3.88966334070887,3.88332817360396,2.15722303512428,2.02780948636708,0.373251651958728,7.42683517682558,1.0005504937499,2144.82602648029,1948.19709549157,"linear"
"59","BW0.5m_June_sediment_NH3","b1",0.0478284854476367,0.047843329883606,0.00234943681331925,0.00225284040982798,0.0438966160161517,0.0516933765510901,1.00108032787012,2300.1643396215,2476.00178429725,"linear"
"60","BW0.5m_June_sediment_NH3","sigma",6.06722016236221,5.86437501944236,1.23146061268776,1.10808470914298,4.45075561190362,8.29426549630266,0.999817171568923,1938.30966148565,2354.00723954542,"linear"
"61","BW0.5m_June_sediment_NH3","Vmax",9513797570752.79,16702805792.2872,15150876888060.6,18162474349.9598,3841556918.6641,42287467087211.1,2.45448412658284,3.66764742736695,22.2710379115877,"MM"
"62","BW0.5m_June_sediment_NH3","K",186771919954677,329578853890.741,297140191919187,359249367362.06,75756116098.434,836687020929943,2.45481404486558,3.66790656336375,22.3686287414367,"MM"
"63","BW0.5m_June_sediment_NH3","sigma",6.5064188924789,6.32931671103821,1.23637955274939,1.09923616797131,4.86736772498252,8.74887394806954,1.00076576989024,3585.18683268001,2896.07548213213,"MM"
"64","BW0.5m_June_sediment_NO3","mu",0.180851689593848,0.174984599858701,0.928742790555718,0.88200900960458,-1.35105337040022,1.70836519348618,1.00037826979588,2700.4579414505,2170.37548972316,"mean"
"65","BW0.5m_June_sediment_NO3","sigma",3.73118626738149,3.60600365409244,0.72902179723233,0.626595916226154,2.7913138821502,5.03313733427162,1.0009199603567,2869.6907031376,2476.71066660989,"mean"
"66","BW0.5m_June_sediment_NO3","lp__",-30.5719710106457,-30.2149506823858,1.13255691969233,0.7607210880807,-32.824849255362,-29.5337122658578,1.00146419582403,1731.98911676994,2086.9281730901,"mean"
"67","BW0.5m_June_sediment_NO3","b0",-2.05231833666677,-2.05904080299477,1.12012363866858,1.06105878579095,-3.87827172278218,-0.191168083803544,1.00210339842575,1901.03805099917,2032.82650666827,"linear"
"68","BW0.5m_June_sediment_NO3","b1",0.00363162943398352,0.00365288061687592,0.00138166642441632,0.0013015229729201,0.00133931467829359,0.00583418155047363,1.0015548114069,2344.03020908203,2314.99820900206,"linear"
"69","BW0.5m_June_sediment_NO3","sigma",3.12579880795293,3.03438697964516,0.613204622878931,0.565062409767565,2.30877396500795,4.23597641398529,1.00105888670055,1712.95493381677,1611.52333322092,"linear"
"70","BW0.5m_June_sediment_NO3","Vmax",42171303133467549696,39281799453106757632,30027383966210641920,34271561631445422080,853555666123401088,94845227835298496512,1.53946832212112,5.35553503061773,21.2174471323604,"MM"
"71","BW0.5m_June_sediment_NO3","K",3.58163903025937e+22,3.11190322310937e+22,2.46337110503825e+22,1.8519791038858e+22,6.59472821271073e+21,8.89079371074126e+22,1.3288869621051,7.56677405959015,16.2406999659886,"MM"
"72","BW0.5m_June_sediment_NO3","sigma",3.37006540854038,3.2833052237405,0.631212878729627,0.569316904569774,2.50975366315391,4.51909575450378,1.00758015542211,1952.15627409819,2646.84903500583,"MM"
"73","BW0.5m_May_biofilm_NH3","mu",0.254010643720715,0.25415478432377,0.0437664154145194,0.0413007388472441,0.182259693555499,0.323438298327135,1.00064814613866,2712.41499760798,2318.99353482579,"mean"
"74","BW0.5m_May_biofilm_NH3","sigma",0.17975573329298,0.173917642146133,0.0355655166938802,0.0318954911262237,0.13353560853417,0.242707412665187,1.00160731538845,2652.65360666968,2359.27172824822,"mean"
