Site,Location,Depth,Vial_num,Sample_ID,Sample_Date,Inc_month,Composite_num,Weight_mg,Weight_g,Volume_lake_water_L,NO3_spike_µg_L,NH3_spike_µg_L,Analyte,Spike_µg_L,Type,Goal_incubation_hrs,Incubation_start_time,Incubation_end_time,Actual_incubation_hrs,bin,Notes,NO2_NO3_mgNL,NH3_mgNL,Conc_mgNL,Flag,Percent_water,Sample_dryweight_g,
BW_3m,BW,3,30,Sed_NA_30,2023-05-24,May,3,2037,2.037,0.025,500,,NO3,500,sediment,6,8:34,14:49,6:15,1,,0.47,,0.47,N,0.317,1.391271,
BW_3m,BW,3,31,Sed_NA_31,2023-05-24,May,1,2186.4,2.1864,0.025,800,,NO3,800,sediment,6,8:36,14:53,6:17,2,,0.749,,0.749,N,0.317,1.4933112,
BW_3m,BW,3,32,Sed_NA_32,2023-05-24,May,2,2134.2,2.1342,0.025,800,,NO3,800,sediment,6,8:36,14:53,6:17,2,,0.507,,0.507,N,0.317,1.4576586,
BW_3m,BW,3,33,Sed_NA_33,2023-05-24,May,3,2186.8,2.1868,0.025,800,,NO3,800,sediment,6,8:36,14:53,6:17,2,,0.741,,0.741,N,0.317,1.4935844,
BW_3m,BW,3,34,Sed_NA_34,2023-05-24,May,1,2026.2,2.0262,0.025,1200,,NO3,1200,sediment,6,8:38,14:57,6:19,2,,1.06,,1.06,N,0.317,1.3838946,
BW_3m,BW,3,35,Sed_NA_35,2023-05-24,May,2,2113.1,2.1131,0.025,1200,,NO3,1200,sediment,6,8:38,14:57,6:19,2,,1.16,,1.16,N,0.317,1.4432473,
BW_3m,BW,3,36,Sed_NA_36,2023-05-24,May,3,1995.2,1.9952,0.025,1200,,NO3,1200,sediment,6,8:38,14:57,6:19,2,,1.077,,1.077,N,0.317,1.3627216,
SS_3m,SS,3,37,Sed_NA_37,2023-05-24,May,1,2087.9,2.0879,0.025,0,,NO3,0,sediment,6,8:28,14:38,6:10,1,,0.008,,0.008,N,0.195,1.6807595,
SS_3m,SS,3,38,Sed_NA_38,2023-05-24,May,2,2136.4,2.1364,0.025,0,,NO3,0,sediment,6,8:28,14:38,6:10,1,,0.011,,0.011,N,0.195,1.719802,
SS_3m,SS,3,39,Sed_NA_39,2023-05-24,May,3,2148.7,2.1487,0.025,0,,NO3,0,sediment,6,8:28,14:38,6:10,1,,0.008,,0.008,N,0.195,1.7297035,
